"Slug","Lang","Type","FullPath"
"5-ai-report-writing-hacks","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\5-ai-report-writing-hacks.md"
"ai-agents-what-changes-for-teachers","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-agents-what-changes-for-teachers.mdx"
"ai-comment-generation-guide","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-comment-generation-guide.mdx"
"ai-lesson-planning-2025","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-lesson-planning-2025.mdx"
"ai-lesson-planning-guide-2025","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-lesson-planning-guide-2025.mdx"
"ai-powered-student-feedback-guide","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-powered-student-feedback-guide.mdx"
"ai-revolution-in-education","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-revolution-in-education.md"
"ai-tools-teachers-guide-2025","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-tools-teachers-guide-2025.md"
"ai-vs-chatgpt-for-teachers","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-vs-chatgpt-for-teachers.mdx"
"ai-vs-traditional-teaching","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\ai-vs-traditional-teaching.md"
"best-ai-tools-for-teachers-2025","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\best-ai-tools-for-teachers-2025.mdx"
"classroom-micro-routines-problem-solvers","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\classroom-micro-routines-problem-solvers.mdx"
"do-i-really-belong-here","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\do-i-really-belong-here.md"
"getting-started-with-ai","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\getting-started-with-ai.md"
"mark-less-teach-more-feedback-routines","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\mark-less-teach-more-feedback-routines.mdx"
"parent-communication-ai-templates","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\parent-communication-ai-templates.mdx"
"parent-email-deescalation-templates","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\parent-email-deescalation-templates.mdx"
"parent-teacher-communication-ai","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\parent-teacher-communication-ai.mdx"
"reduce-teacher-workload-with-ai","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\reduce-teacher-workload-with-ai.mdx"
"school-safe-data-for-teachers","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\school-safe-data-for-teachers.mdx"
"teach-thinking-student-centred-problem-solving","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\teach-thinking-student-centred-problem-solving.mdx"
"teacher-burnout-prevention-strategies","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\teacher-burnout-prevention-strategies.md"
"teacher-guide-safe-use-of-ai","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\teacher-guide-safe-use-of-ai.mdx"
"teacher-productivity-tips","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\teacher-productivity-tips.mdx"
"that-one-student-who-breaks-your-heart","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\that-one-student-who-breaks-your-heart.md"
"the-loneliness-of-lunch-duty","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\the-loneliness-of-lunch-duty.md"
"the-sunday-night-teacher-anxiety","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\the-sunday-night-teacher-anxiety.md"
"welcome-to-zaza-promptly","EN","MDX","C:\Users\User\zaza-draft-website-v0-3g\content\blog\welcome-to-zaza-promptly.mdx"
"when-grading-feels-overwhelming","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\when-grading-feels-overwhelming.md"
"when-parents-question-everything-you-do","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\when-parents-question-everything-you-do.md"
"when-technology-feels-like-the-enemy","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\when-technology-feels-like-the-enemy.md"
"when-your-admin-doesnt-get-it","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\when-your-admin-doesnt-get-it.md"
"why-good-teachers-think-about-quitting","EN","MD","C:\Users\User\zaza-draft-website-v0-3g\content\blog\why-good-teachers-think-about-quitting.md"
